place	w1_order	w1_peak_date	w1_peak_daily_cases	w1_total_cases	w2_order	w2_peak_date	w2_peak_daily_cases	w2_total_cases	pct_cases_w2	metric.case	tier.case	metric.death	tier.death
Ladakh	1	2020-06-13	198	9684	1	2021-04-17	362	8897	0.47882245304343146	NA	NA	NA	NA
Tamil Nadu	2	2020-07-27	6993	820064	32	2021-05-21	36184	1251866	0.604202844690699	3.5799672514972296	3 - 4	2.25574084389901	2 - 3
Bihar	3	2020-08-11	4071	257594	9	2021-04-30	15853	445071	0.6334042538051561	4.00340910113067	4 - 5	5.6187367800003765	> 5
Assam	4	2020-08-12	4593	215626	29	2021-05-20	6573	193928	0.4735102086660123	2.0873861572820616	2 - 3	4.853819303093034	4 - 5
Andaman and Nicobar Islands	5	2020-08-14	149	4972	11	2021-05-01	97	1996	0.2864523536165327	NA	NA	NA	NA
Sikkim	6	2020-08-14	149	6129	35	2021-05-28	420	9201	0.6001956947162427	3.494746561139838	3 - 4	2.009553478712357	2 - 3
Dadra and Nagar Haveli	7	2020-08-15	64	3376	4	2021-04-22	359	6763	0.6670283065391064	NA	NA	NA	NA
Andhra Pradesh	8	2020-08-26	10830	885023	27	2021-05-16	24171	804271	0.4760988910160102	2.093656822135304	2 - 3	1.22322486651693	1 - 2
Telangana	9	2020-08-26	3018	293027	18	2021-05-07	11451	281923	0.49034350813114186	2.2201498251745115	2 - 3	2.6614875389408104	2 - 3
Jharkhand	10	2020-08-31	3221	118536	8	2021-04-28	8075	218490	0.6482882626266223	4.270491492631269	4 - 5	8.367827494387303	> 5
Tripura	11	2020-09-05	691	32879	28	2021-05-19	879	17780	0.3509741605637695	1.2621540487717324	1 - 2	0.7247699775411142	< 1
Mizoram	12	2020-09-10	141	4379	37	2021-05-30	329	7695	0.637319860858042	4.12577155112289	4 - 5	7.919003115264798	> 5
Maharashtra	13	2020-09-11	24886	1987886	2	2021-04-18	68631	3686706	0.6496865325295633	4.32658682183096	4 - 5	2.1105566863160763	2 - 3
Nagaland	14	2020-09-11	310	12097	25	2021-05-13	366	9497	0.43979809206261	1.8154339651671587	1 - 2	7.184579439252337	> 5
Uttar Pradesh	15	2020-09-11	7016	593360	6	2021-04-24	37944	1089399	0.6473886040722409	4.248879202429048	4 - 5	3.254664486654152	3 - 4
Goa	16	2020-09-12	740	54114	16	2021-05-07	4195	101473	0.6521945920931698	4.341951710786539	4 - 5	5.528986377723855	> 5
Jammu and Kashmir	17	2020-09-12	1698	122550	17	2021-05-07	5443	165197	0.5741050297657317	NA	NA	NA	NA
Chandigarh	18	2020-09-13	449	20919	22	2021-05-09	895	38826	0.6498619131308059	4.276096479937322	4 - 5	2.7588785046728974	2 - 3
India	19	2020-09-16	97860	10697512	15	2021-05-06	414280	17268970	0.6174881059405327	NA	NA	NA	NA
Punjab	20	2020-09-17	2848	173722	21	2021-05-08	9042	391543	0.692671578817015	5.201024809407416	> 5	3.6157917535936734	3 - 4
Uttarakhand	21	2020-09-19	2078	382892	19	2021-05-07	9642	931660	0.7087281446454762	5.6296889501090215	> 5	6.613104392354362	> 5
Pondicherry	22	2020-09-24	668	39363	23	2021-05-11	2049	65013	0.6228730742699471	NA	NA	NA	NA
Odisha	23	2020-09-26	4356	333856	33	2021-05-23	12852	428896	0.5623007215975835	2.964675491853117	2 - 3	0.9950826743350109	< 1
Arunachal Pradesh	24	2020-09-28	328	16808	34	2021-05-28	497	10441	0.38317002458805827	NA	NA	NA	NA
Meghalaya	25	2020-10-03	423	13859	30	2021-05-20	1183	21661	0.6098254504504504	3.5845430126514324	3 - 4	6.725157352660691	> 5
Karnataka	26	2020-10-07	10947	941060	14	2021-05-05	50112	1659575	0.6381422229570854	4.066192952796537	4 - 5	3.17465729786441	3 - 4
Kerala	27	2020-10-10	11755	998111	24	2021-05-12	43529	1527056	0.6047346571533685	3.5206559608943566	3 - 4	2.819279160368722	2 - 3
Madhya Pradesh	28	2020-10-14	5515	249003	7	2021-04-25	13601	522607	0.6772942289498581	4.864797482561303	4 - 5	2.875018959084228	2 - 3
Manipur	29	2020-10-17	426	29092	36	2021-05-30	1032	21564	0.42569488313329124	1.7218641221839783	1 - 2	2.675051990679261	2 - 3
West Bengal	30	2020-10-22	4157	566237	26	2021-05-14	20846	803972	0.586751364207942	3.2879979655277856	3 - 4	1.2486283309743462	1 - 2
Delhi	31	2020-11-11	8593	614664	3	2021-04-20	28395	789444	0.5622388021434248	NA	NA	NA	NA
Haryana	32	2020-11-20	3104	266317	13	2021-05-04	15786	487666	0.6467864660078543	4.268951348385317	4 - 5	4.076214339451592	4 - 5
Rajasthan	33	2020-11-24	3314	309447	12	2021-05-02	18298	621138	0.667470462128661	4.655346655266344	4 - 5	5.135098691439789	> 5
Gujarat	34	2020-11-27	1607	247364	10	2021-04-30	14605	544172	0.6874886297022498	5.160504993245131	> 5	4.185932449700584	4 - 5
Himachal Pradesh	35	2020-11-29	1026	57856	20	2021-05-08	5424	132129	0.6954706950548728	5.2633321485449365	> 5	5.0806507442021465	> 5
Chhattisgarh	36	2021-01-28	6451	1233472	5	2021-04-23	17397	2650132	0.682389862612151	4.953759403809531	4 - 5	5.66492162192352	> 5
Lakshadweep	37	2021-02-13	36	224	31	2021-05-21	345	7853	0.9722669307911354	NA	NA	NA	NA
